dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,43,0.945021,0.986767,0.969463,0.976433,0.959213,0.878744,0.970017,0.972935,0.989988,0.969771,0.639998,0.993322,0.989983,0.989994,0.989988,0.993322
BasicMotions,BM,43,0.896250,1.000000,1.000000,1.000000,1.000000,0.974937,0.923274,0.974937,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,43,0.611600,0.978721,0.978721,0.948346,0.918645,0.946594,0.923082,0.978806,0.970922,0.956502,0.828914,0.984993,1.000000,1.000000,1.000000,1.000000
ERing,ER,43,0.901343,0.869081,0.873871,0.876908,0.925247,0.787751,0.895201,0.840552,0.951715,0.951640,0.609030,0.985182,0.981436,0.996296,0.988885,0.948514
FaceDetection,FD,43,0.648640,0.534919,0.515635,N/A,0.562397,0.553539,0.668929,0.655691,0.668924,0.662017,0.499391,0.599486,0.585655,0.612351,0.521271,0.648961
FingerMovements,FM,43,0.592450,0.619848,0.449945,0.516908,0.499199,0.538338,0.617552,0.549595,0.499800,0.549955,0.496779,0.549595,0.508772,0.577295,0.489541,0.698916
Handwriting,HW,43,0.261284,0.381893,0.524067,0.482474,0.287298,0.303971,0.310639,0.193598,0.398870,0.232683,0.086560,0.550836,0.474751,0.489888,0.419889,0.363203
Libras,LIB,43,0.767750,0.932950,0.917776,0.899344,0.852346,0.784703,0.775022,0.783803,0.876273,0.743282,0.537422,0.916292,0.932783,0.932979,0.949647,0.911413
LSST,LSST,43,0.389709,0.229576,0.281718,0.457392,0.443626,0.434357,0.426851,0.103664,0.460333,0.127302,0.128643,0.401126,0.468204,0.469112,0.420207,0.367115
NATOPS,NA,43,0.836665,0.977577,0.954214,0.842673,0.899974,0.910897,0.859942,0.926439,0.949727,0.862547,0.682001,0.884841,0.933333,0.927597,0.878425,0.944444
PEMS-SF,PEMS,43,0.874567,0.712677,0.757745,0.660118,0.867849,0.741669,0.803669,0.609526,0.762850,0.838772,0.683124,0.824236,0.821906,0.791954,0.779645,0.900379
PenDigits,PD,43,0.974509,0.985703,0.977832,0.939352,0.962630,0.985144,0.976739,0.679131,0.982589,N/A,N/A,0.979593,N/A,N/A,0.969484,0.993371
PhonemeSpectra,PM,43,0.077953,0.235335,0.303804,0.151948,0.140226,0.177857,0.145682,0.024611,0.186134,0.152432,0.115206,0.270335,0.312434,0.327140,0.329281,0.210775
RacketSports,RS,43,0.799690,0.907709,0.909639,0.844883,0.896016,0.822112,0.852837,0.841681,0.926851,N/A,0.679421,0.903488,0.863868,0.881916,0.914540,0.927700
DuckDuckGeese,DDG,43,0.427068,0.559511,0.541423,0.468406,0.579266,0.476434,0.418926,0.633015,0.578856,0.119231,0.228352,0.483272,0.622619,0.554545,0.499204,0.635541
UWaveGestureLibrary,UWG,43,0.838647,0.853202,0.808482,0.856729,0.857422,0.653397,0.860053,0.838380,0.883961,0.858588,0.450497,0.937141,0.946481,0.934572,0.915035,0.901939
AtrialFibrillation,AF,43,0.185185,0.155844,0.155844,0.277778,0.437451,0.172222,0.220513,0.264550,0.200000,0.266667,0.260606,0.055556,0.078431,0.051282,0.238095,0.427350
Cricket,CR,43,0.899795,0.986014,0.986014,0.986014,0.944153,0.585101,0.887901,0.928114,0.928555,0.958042,0.841173,1.000000,0.986014,0.986014,1.000000,1.000000
EthanolConcentration,EC,43,0.178369,0.213256,0.284992,0.307589,0.446751,0.187114,0.230456,0.290494,0.285128,0.159227,0.271704,0.396644,0.448961,0.523020,0.509180,0.507937
HandMovementDirection,HMD,43,0.402231,0.204545,0.333825,0.270814,0.418783,0.260783,0.597040,0.365526,0.586135,0.672989,0.214105,0.478946,0.362431,0.330973,0.297981,0.448562
Heartbeat,HB,43,0.577576,0.679735,0.641126,0.533198,0.607165,0.629677,0.569471,0.673747,0.641126,0.332993,0.597471,0.653967,0.714242,0.669365,0.652739,0.677673
SelfRegulationSCP1,SRS1,43,0.886945,0.835747,0.720212,0.758011,0.828775,0.695551,0.856050,0.900797,0.897342,0.869759,0.513859,0.856573,0.918011,0.948767,0.879281,0.855033
SelfRegulationSCP2,SRS2,43,0.468326,0.397818,0.503660,0.527763,0.473619,0.555061,0.454478,0.482551,0.461094,0.538190,0.494054,0.522163,0.505540,0.543938,0.515935,0.581340
StandWalkJump,SWJ,43,0.383117,0.311111,0.240196,0.383117,0.407407,0.259259,0.243386,0.148148,0.175439,0.276190,0.088889,0.433700,0.438889,0.664646,0.440476,0.672222
