dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,45,0.926667,0.983333,0.973333,0.976667,0.963333,0.803333,0.976667,0.976667,0.986667,0.970000,0.660000,0.993333,0.993333,0.993333,0.986667,0.993333
BasicMotions,BM,45,0.925000,1.000000,1.000000,1.000000,1.000000,0.750000,0.950000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,45,0.676100,0.970588,0.971184,0.949722,0.927279,0.971781,0.824338,0.964428,0.985294,0.955882,0.822774,0.985294,1.000000,1.000000,1.000000,1.000000
ERing,ER,45,0.918519,0.855556,0.877778,0.877778,0.925926,0.581481,0.914815,0.881481,0.933333,0.922222,0.700000,0.981481,0.988889,0.988889,0.985185,0.951852
FaceDetection,FD,45,0.641600,0.534052,0.570375,N/A,0.564983,0.545403,0.679058,0.656640,0.671396,0.637344,0.487514,0.621737,0.583144,0.610953,0.533201,0.656356
FingerMovements,FM,45,0.502601,0.641056,0.579832,0.518607,0.521409,0.491196,0.479792,0.454782,0.481793,0.560624,0.459784,0.572029,0.563425,0.562625,0.630452,0.699080
Handwriting,HW,45,0.284103,0.452587,0.482148,0.497232,0.342174,0.328728,0.338380,0.197020,0.421810,0.303030,0.128863,0.583125,0.501594,0.505824,0.449203,0.383414
Libras,LIB,45,0.777778,0.927778,0.916667,0.900000,0.838889,0.744444,0.766667,0.788889,0.866667,0.783333,0.505556,0.905556,0.927778,0.927778,0.955556,0.911111
LSST,LSST,45,0.371169,0.236452,0.347849,0.444472,0.422976,0.409268,0.407369,0.128852,0.427991,0.149916,0.144126,0.379688,0.463008,0.446207,0.413455,0.391822
NATOPS,NA,45,0.850000,0.927778,0.944444,0.838889,0.900000,0.938889,0.855556,0.950000,0.933333,0.811111,0.677778,0.888889,0.900000,0.911111,0.877778,0.950000
PEMS-SF,PEMS,45,0.832239,0.724461,0.733249,0.668911,0.871007,0.764918,0.816692,0.705760,0.717156,0.761869,0.678048,0.837049,0.798498,0.814913,0.784574,0.912372
PenDigits,PD,45,0.976036,0.980325,0.985708,0.939488,0.955757,0.988133,0.986572,0.619015,0.988033,N/A,N/A,0.980918,N/A,N/A,0.969551,0.993724
PhonemeSpectra,PM,45,0.080532,0.245512,0.289929,0.151257,0.151871,0.227953,0.149419,0.090042,0.192399,0.179554,0.139865,0.277425,0.313501,0.321253,0.337644,0.227549
RacketSports,RS,45,0.773500,0.899419,0.892733,0.848547,0.913372,0.830233,0.837355,0.848983,0.902616,N/A,0.612062,0.909302,0.878488,0.879360,0.891424,0.921366
DuckDuckGeese,DDG,45,0.380000,0.500000,0.560000,0.480000,0.540000,0.540000,0.420000,0.660000,0.640000,0.240000,0.280000,0.520000,0.620000,0.540000,0.520000,0.620000
UWaveGestureLibrary,UWG,45,0.750000,0.853125,0.846875,0.856250,0.868750,0.631250,0.862500,0.878125,0.884375,0.871875,0.440625,0.937500,0.931250,0.940625,0.918750,0.903125
AtrialFibrillation,AF,45,0.200000,0.200000,0.133333,0.266667,0.466667,0.133333,0.133333,0.266667,0.266667,0.333333,0.266667,0.066667,0.133333,0.066667,0.133333,0.533333
Cricket,CR,45,0.847222,1.000000,0.972222,0.986111,0.916667,0.791667,0.916667,0.958333,0.958333,0.916667,0.791667,1.000000,0.986111,0.986111,0.986111,1.000000
EthanolConcentration,EC,45,0.299242,0.315268,0.227914,0.307925,0.437646,0.272902,0.276865,0.326399,0.315210,0.227331,0.254429,0.430828,0.456702,0.556177,0.506294,0.578846
HandMovementDirection,HMD,45,0.476190,0.250000,0.345238,0.283333,0.455952,0.276190,0.676190,0.302381,0.645238,0.695238,0.315476,0.513095,0.404762,0.251190,0.227381,0.446429
Heartbeat,HB,45,0.584163,0.741287,0.679232,0.532895,0.607871,0.595661,0.601648,0.670638,0.682729,0.510846,0.582978,0.610597,0.672653,0.604493,0.613976,0.717876
SelfRegulationSCP1,SRS1,45,0.782243,0.833077,0.479708,0.765073,0.829559,0.846496,0.853415,0.908023,0.880766,0.856584,0.506896,0.853112,0.918181,0.948933,0.880929,0.859799
SelfRegulationSCP2,SRS2,45,0.488889,0.511111,0.472222,0.527778,0.455556,0.566667,0.488889,0.477778,0.438889,0.500000,0.494444,0.527778,0.488889,0.533333,0.544444,0.622222
StandWalkJump,SWJ,45,0.400000,0.400000,0.333333,0.400000,0.400000,0.466667,0.333333,0.133333,0.333333,0.333333,0.333333,0.466667,0.400000,0.666667,0.466667,0.733333
