dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,44,0.930000,0.983333,0.980000,0.976667,0.963333,0.836667,0.980000,0.966667,0.986667,0.970000,0.690000,0.993333,0.993333,0.990000,0.986667,0.993333
BasicMotions,BM,44,0.825000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975000,0.975000,1.000000,1.000000,0.950000,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,44,0.733903,0.942369,0.971781,0.949722,0.927279,0.956691,0.904412,0.971781,0.957075,0.963235,0.824351,0.985294,1.000000,1.000000,1.000000,1.000000
ERing,ER,44,0.918519,0.885185,0.848148,0.877778,0.944444,0.714815,0.918519,0.792593,0.929630,0.933333,0.655556,0.988889,0.985185,0.992593,0.988889,0.951852
FaceDetection,FD,44,0.652100,0.538876,0.541430,N/A,0.559875,0.552213,0.666005,0.658910,0.651249,0.659478,0.501419,0.608400,0.593927,0.612089,0.543417,0.648127
FingerMovements,FM,44,0.511204,0.529612,0.508003,0.518607,0.520608,0.483794,0.551621,0.523810,0.598639,0.571228,0.609244,0.532013,0.591637,0.571228,0.541016,0.688876
Handwriting,HW,44,0.282770,0.509418,0.512092,0.497232,0.337750,0.372727,0.336300,0.255380,0.455209,0.265888,0.119649,0.580611,0.509083,0.509994,0.450778,0.370153
Libras,LIB,44,0.744444,0.938889,0.933333,0.900000,0.844444,0.744444,0.716667,0.800000,0.833333,0.738889,0.500000,0.911111,0.944444,0.938889,0.950000,0.911111
LSST,LSST,44,0.387220,0.290164,0.329707,0.444472,0.429862,0.395317,0.408106,0.102573,0.392695,0.148780,0.147279,0.380518,0.466704,0.464745,0.413377,0.371987
NATOPS,NA,44,0.850000,0.955556,0.944444,0.838889,0.905556,0.905556,0.905556,0.944444,0.938889,0.805556,0.694444,0.883333,0.938889,0.922222,0.888889,0.938889
PEMS-SF,PEMS,44,0.763458,0.779596,0.819946,0.668911,0.882435,0.747649,0.859306,0.701983,0.735050,0.771978,0.623740,0.797059,0.792371,0.768525,0.813073,0.904725
PenDigits,PD,44,0.979269,0.982092,0.987195,0.939488,0.958413,0.987471,0.984047,0.756202,0.980208,N/A,N/A,0.982293,N/A,N/A,0.969204,0.992826
PhonemeSpectra,PM,44,0.082037,0.255302,0.297057,0.151257,0.145600,0.232358,0.145231,0.088551,0.199846,0.167887,0.137178,0.276513,0.313813,0.329913,0.334968,0.225476
RacketSports,RS,44,0.802655,0.870930,0.883430,0.848547,0.900851,0.793605,0.831541,0.779630,0.920058,N/A,0.635124,0.927180,0.896802,0.902616,0.903488,0.920037
DuckDuckGeese,DDG,44,0.420000,0.620000,0.560000,0.480000,0.580000,0.520000,0.640000,0.660000,0.580000,0.180000,0.220000,0.520000,0.620000,0.560000,0.480000,0.660000
UWaveGestureLibrary,UWG,44,0.856250,0.831250,0.828125,0.856250,0.862500,0.543750,0.865625,0.831250,0.878125,0.868750,0.443750,0.937500,0.940625,0.946875,0.915625,0.896875
AtrialFibrillation,AF,44,0.200000,0.200000,0.066667,0.266667,0.466667,0.266667,0.333333,0.333333,0.266667,0.200000,0.333333,0.066667,0.066667,0.066667,0.133333,0.533333
Cricket,CR,44,0.819444,0.986111,0.972222,0.986111,0.930556,0.750000,0.944444,0.986111,0.958333,0.902778,0.847222,1.000000,0.986111,0.986111,0.986111,1.000000
EthanolConcentration,EC,44,0.303030,0.311597,0.300058,0.307925,0.426166,0.337529,0.269464,0.310664,0.277506,0.242483,0.299767,0.430478,0.464569,0.521853,0.510198,0.502273
HandMovementDirection,HMD,44,0.421429,0.354762,0.292857,0.283333,0.415476,0.302381,0.634524,0.409524,0.661905,0.721429,0.232143,0.454762,0.388095,0.284524,0.314286,0.472619
Heartbeat,HB,44,0.626008,0.704362,0.657480,0.532895,0.596373,0.584282,0.615339,0.674016,0.675379,0.586178,0.623400,0.654457,0.713134,0.632172,0.620733,0.649064
SelfRegulationSCP1,SRS1,44,0.843444,0.719271,0.486441,0.765073,0.839740,0.819425,0.826344,0.877504,0.897796,0.832728,0.513769,0.856537,0.904599,0.948910,0.894511,0.852856
SelfRegulationSCP2,SRS2,44,0.494444,0.538889,0.505556,0.527778,0.477778,0.494444,0.477778,0.561111,0.433333,0.527778,0.511111,0.544444,0.511111,0.538889,0.505556,0.611111
StandWalkJump,SWJ,44,0.400000,0.333333,0.400000,0.400000,0.466667,0.333333,0.333333,0.400000,0.400000,0.400000,0.133333,0.466667,0.466667,0.666667,0.466667,0.666667
