dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,44,0.927127,0.983269,0.979714,0.976433,0.962985,0.852066,0.980094,0.966118,0.986608,0.970187,0.670552,0.993322,0.993322,0.989994,0.986485,0.993322
BasicMotions,BM,44,0.803877,1.000000,1.000000,1.000000,1.000000,1.000000,0.974937,0.974937,1.000000,1.000000,0.949495,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,44,0.688965,0.939245,0.971781,0.948346,0.926774,0.958393,0.897434,0.970922,0.955094,0.964336,0.817003,0.984993,1.000000,1.000000,1.000000,1.000000
ERing,ER,44,0.918510,0.884825,0.850582,0.876908,0.943763,0.710855,0.918461,0.782863,0.928518,0.932972,0.644610,0.988928,0.985181,0.992592,0.988885,0.951658
FaceDetection,FD,44,0.651797,0.537185,0.538127,N/A,0.559849,0.546369,0.665923,0.656743,0.651201,0.659459,0.501338,0.608177,0.593295,0.611337,0.543414,0.648062
FingerMovements,FM,44,0.508772,0.529577,0.503998,0.516908,0.519808,0.462588,0.547784,0.503927,0.597424,0.568922,0.609023,0.526162,0.587981,0.568922,0.539263,0.688474
Handwriting,HW,44,0.264995,0.486151,0.491441,0.482474,0.310439,0.342922,0.305570,0.173069,0.417986,0.225707,0.089437,0.554002,0.487544,0.489238,0.423040,0.351992
Libras,LIB,44,0.729404,0.939112,0.932748,0.899344,0.845810,0.736365,0.709956,0.795062,0.831219,0.721768,0.493665,0.911014,0.944150,0.938322,0.949329,0.912065
LSST,LSST,44,0.384703,0.321381,0.349390,0.457392,0.452927,0.418609,0.417253,0.082128,0.378831,0.117741,0.135208,0.397988,0.474044,0.476205,0.426987,0.362428
NATOPS,NA,44,0.849809,0.955222,0.944484,0.842673,0.905504,0.904950,0.906053,0.943292,0.937828,0.808043,0.692872,0.881573,0.938872,0.922222,0.889329,0.939074
PEMS-SF,PEMS,44,0.758637,0.767128,0.828159,0.660118,0.879696,0.727260,0.858855,0.692630,0.722620,0.762565,0.617096,0.795048,0.784674,0.759971,0.807259,0.900974
PenDigits,PD,44,0.979035,0.982066,0.987234,0.939352,0.958006,0.987488,0.983908,0.755703,0.980217,N/A,N/A,0.982114,N/A,N/A,0.968971,0.992798
PhonemeSpectra,PM,44,0.075893,0.223047,0.283841,0.151948,0.141294,0.222080,0.139889,0.030343,0.195971,0.151140,0.117031,0.271134,0.306630,0.326370,0.326618,0.214892
RacketSports,RS,44,0.786863,0.869789,0.883099,0.844883,0.901061,0.787886,0.831301,0.766675,0.920533,N/A,0.607757,0.927448,0.894271,0.900721,0.902397,0.921147
DuckDuckGeese,DDG,44,0.351515,0.615140,0.549719,0.468406,0.579266,0.515033,0.646823,0.659287,0.583634,0.064286,0.101299,0.526869,0.617273,0.534554,0.487753,0.644151
UWaveGestureLibrary,UWG,44,0.854792,0.821797,0.823547,0.856729,0.861236,0.526575,0.864664,0.831834,0.878895,0.869071,0.438535,0.937309,0.940244,0.947242,0.914845,0.894964
AtrialFibrillation,AF,44,0.185897,0.155844,0.041667,0.277778,0.437451,0.227920,0.264957,0.292929,0.200980,0.155844,0.317460,0.055556,0.041667,0.051282,0.158730,0.499278
Cricket,CR,44,0.815196,0.986014,0.972028,0.986014,0.928904,0.729770,0.940171,0.986014,0.958139,0.901307,0.849704,1.000000,0.986014,0.986014,0.986014,1.000000
EthanolConcentration,EC,44,0.231076,0.306898,0.287772,0.307589,0.424389,0.307694,0.254103,0.264832,0.275588,0.134971,0.289369,0.423456,0.460394,0.514808,0.502866,0.493547
HandMovementDirection,HMD,44,0.416534,0.306841,0.243827,0.270814,0.412541,0.263299,0.584297,0.384839,0.628669,0.696254,0.185753,0.455400,0.373732,0.271930,0.286847,0.469595
Heartbeat,HB,44,0.618486,0.710878,0.536409,0.533198,0.600616,0.587999,0.625694,0.687064,0.691729,0.579930,0.632763,0.668731,0.718827,0.642140,0.632142,0.663659
SelfRegulationSCP1,SRS1,44,0.840459,0.700514,0.339376,0.758011,0.839321,0.817677,0.823563,0.875742,0.897342,0.832733,0.379756,0.856453,0.904248,0.948767,0.893358,0.851239
SelfRegulationSCP2,SRS2,44,0.482808,0.538190,0.494174,0.527763,0.474599,0.494429,0.471250,0.557161,0.433263,0.526594,0.390769,0.543938,0.510870,0.537733,0.505540,0.610679
StandWalkJump,SWJ,44,0.338624,0.264069,0.314815,0.383117,0.463300,0.264069,0.279202,0.333333,0.324675,0.386364,0.095238,0.433862,0.438889,0.664646,0.440476,0.672222
