dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,44,0.930000,0.983333,0.980000,0.976667,0.963333,0.836667,0.980000,0.966667,0.986667,0.970000,0.690000,0.993333,0.993333,0.990000,0.986667,0.993333
BasicMotions,BM,44,0.825000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975000,0.975000,1.000000,1.000000,0.950000,1.000000,1.000000,1.000000,1.000000,1
Epilepsy,EP,44,0.731884,0.942029,0.971014,0.949275,0.927536,0.956522,0.905797,0.971014,0.956522,0.963768,0.818841,0.985507,1.000000,1.000000,1.000000,1
ERing,ER,44,0.918519,0.885185,0.848148,0.877778,0.944444,0.714815,0.918519,0.792593,0.929630,0.933333,0.655556,0.988889,0.985185,0.992593,0.988889,0.951852
FaceDetection,FD,44,0.652100,0.538876,0.541430,N/A,0.559875,0.552213,0.666005,0.658910,0.651249,0.659478,0.501419,0.608400,0.593927,0.612089,0.543417,0.648127
FingerMovements,FM,44,0.510000,0.530000,0.510000,0.520000,0.520000,0.480000,0.550000,0.520000,0.600000,0.570000,0.610000,0.530000,0.590000,0.570000,0.540000,0.69
Handwriting,HW,44,0.289412,0.509412,0.512941,0.504706,0.341176,0.376471,0.341176,0.256471,0.457647,0.270588,0.120000,0.587059,0.511765,0.512941,0.455294,0.372941
Libras,LIB,44,0.744444,0.938889,0.933333,0.900000,0.844444,0.744444,0.716667,0.800000,0.833333,0.738889,0.500000,0.911111,0.944444,0.938889,0.950000,0.911111
LSST,LSST,44,0.536091,0.466342,0.512165,0.544607,0.619221,0.582320,0.558394,0.336172,0.456204,0.374290,0.375101,0.636659,0.632603,0.626926,0.590835,0.638686
NATOPS,NA,44,0.850000,0.955556,0.944444,0.838889,0.905556,0.905556,0.905556,0.944444,0.938889,0.805556,0.694444,0.883333,0.938889,0.922222,0.888889,0.938889
PEMS-SF,PEMS,44,0.768786,0.780347,0.820809,0.670520,0.884393,0.728324,0.861272,0.705202,0.734104,0.774566,0.624277,0.803468,0.797688,0.774566,0.820809,0.901734
PenDigits,PD,44,0.979131,0.982276,0.987136,0.939680,0.957976,0.987421,0.983991,0.754431,0.980274,N/A,N/A,0.981990,N/A,N/A,0.968839,0.992853
PhonemeSpectra,PM,44,0.082016,0.255294,0.297047,0.151208,0.145541,0.232329,0.145243,0.088577,0.199821,0.167909,0.137191,0.276469,0.313749,0.329854,0.334924,0.22547
RacketSports,RS,44,0.782895,0.861842,0.875000,0.835526,0.894737,0.776316,0.815789,0.756579,0.914474,N/A,0.618421,0.921053,0.888158,0.894737,0.894737,0.914474
DuckDuckGeese,DDG,44,0.420000,0.620000,0.560000,0.480000,0.580000,0.520000,0.640000,0.660000,0.580000,0.180000,0.220000,0.520000,0.620000,0.560000,0.480000,0.66
UWaveGestureLibrary,UWG,44,0.856250,0.831250,0.828125,0.856250,0.862500,0.543750,0.865625,0.831250,0.878125,0.868750,0.443750,0.937500,0.940625,0.946875,0.915625,0.896875
AtrialFibrillation,AF,44,0.200000,0.200000,0.066667,0.266667,0.466667,0.266667,0.333333,0.333333,0.266667,0.200000,0.333333,0.066667,0.066667,0.066667,0.133333,0.533333
Cricket,CR,44,0.819444,0.986111,0.972222,0.986111,0.930556,0.750000,0.944444,0.986111,0.958333,0.902778,0.847222,1.000000,0.986111,0.986111,0.986111,1
EthanolConcentration,EC,44,0.304183,0.311787,0.300380,0.307985,0.425856,0.338403,0.269962,0.311787,0.277567,0.243346,0.300380,0.429658,0.463878,0.520913,0.509506,0.501901
HandMovementDirection,HMD,44,0.432432,0.351351,0.270270,0.283784,0.432432,0.297297,0.581081,0.459459,0.635135,0.689189,0.189189,0.472973,0.378378,0.310811,0.283784,0.486486
Heartbeat,HB,44,0.678049,0.775610,0.536585,0.629268,0.697561,0.726829,0.756098,0.770732,0.780488,0.643902,0.736585,0.765854,0.780488,0.741463,0.756098,0.765854
SelfRegulationSCP1,SRS1,44,0.843003,0.720137,0.488055,0.764505,0.839590,0.819113,0.825939,0.877133,0.897611,0.832765,0.515358,0.856655,0.904437,0.948805,0.894198,0.853242
SelfRegulationSCP2,SRS2,44,0.494444,0.538889,0.505556,0.527778,0.477778,0.494444,0.477778,0.561111,0.433333,0.527778,0.511111,0.544444,0.511111,0.538889,0.505556,0.611111
StandWalkJump,SWJ,44,0.400000,0.333333,0.400000,0.400000,0.466667,0.333333,0.333333,0.400000,0.400000,0.400000,0.133333,0.466667,0.466667,0.666667,0.466667,0.666667
