dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,43,0.943333,0.986667,0.970000,0.976667,0.960000,0.883333,0.970000,0.973333,0.990000,0.970000,0.670000,0.993333,0.990000,0.990000,0.990000,0.993333
BasicMotions,BM,43,0.900000,1.000000,1.000000,1.000000,1.000000,0.975000,0.925000,0.975000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1
Epilepsy,EP,43,0.637681,0.978261,0.978261,0.949275,0.920290,0.949275,0.927536,0.978261,0.971014,0.956522,0.826087,0.985507,1.000000,1.000000,1.000000,1
ERing,ER,43,0.903704,0.866667,0.874074,0.877778,0.925926,0.792593,0.896296,0.844444,0.951852,0.951852,0.618519,0.985185,0.981481,0.996296,0.988889,0.948148
FaceDetection,FD,43,0.648695,0.538025,0.522418,N/A,0.562429,0.553632,0.669126,0.660329,0.669410,0.662032,0.499432,0.600738,0.585698,0.612372,0.521283,0.648978
FingerMovements,FM,43,0.620000,0.620000,0.450000,0.520000,0.500000,0.540000,0.620000,0.550000,0.500000,0.550000,0.500000,0.550000,0.510000,0.580000,0.490000,0.7
Handwriting,HW,43,0.291765,0.427059,0.542353,0.504706,0.321176,0.343529,0.336471,0.252941,0.432941,0.287059,0.137647,0.583529,0.504706,0.512941,0.452941,0.388235
Libras,LIB,43,0.766667,0.933333,0.916667,0.900000,0.850000,0.783333,0.777778,0.794444,0.877778,0.761111,0.533333,0.916667,0.933333,0.933333,0.950000,0.911111
LSST,LSST,43,0.520681,0.434307,0.274534,0.544607,0.626115,0.574615,0.567315,0.343877,0.595296,0.392133,0.366586,0.636659,0.630576,0.630170,0.598946,0.640308
NATOPS,NA,43,0.838889,0.977778,0.955556,0.838889,0.900000,0.911111,0.866667,0.927778,0.950000,0.861111,0.688889,0.888889,0.933333,0.927778,0.877778,0.944444
PEMS-SF,PEMS,43,0.878613,0.716763,0.768786,0.670520,0.872832,0.739884,0.809249,0.618497,0.768786,0.838150,0.693642,0.832370,0.826590,0.803468,0.791908,0.901734
PenDigits,PD,43,0.974557,0.985706,0.977702,0.939680,0.962550,0.985134,0.976558,0.695540,0.982561,N/A,N/A,0.979417,N/A,N/A,0.969411,0.993425
PhonemeSpectra,PM,43,0.087683,0.248732,0.322398,0.151208,0.145541,0.195646,0.148524,0.080227,0.190277,0.175365,0.138085,0.274978,0.319117,0.330450,0.337608,0.224277
RacketSports,RS,43,0.789474,0.901316,0.901316,0.835526,0.888158,0.809211,0.842105,0.828947,0.921053,N/A,0.684211,0.894737,0.855263,0.875000,0.907895,0.921053
DuckDuckGeese,DDG,43,0.460000,0.580000,0.580000,0.480000,0.580000,0.480000,0.420000,0.640000,0.580000,0.220000,0.280000,0.480000,0.620000,0.560000,0.520000,0.64
UWaveGestureLibrary,UWG,43,0.840625,0.856250,0.818750,0.856250,0.859375,0.659375,0.862500,0.843750,0.884375,0.859375,0.453125,0.937500,0.946875,0.934375,0.915625,0.903125
AtrialFibrillation,AF,43,0.200000,0.200000,0.200000,0.266667,0.466667,0.200000,0.266667,0.333333,0.266667,0.333333,0.266667,0.066667,0.133333,0.066667,0.200000,0.533333
Cricket,CR,43,0.902778,0.986111,0.986111,0.986111,0.944444,0.625000,0.888889,0.930556,0.930556,0.958333,0.847222,1.000000,0.986111,0.986111,1.000000,1
EthanolConcentration,EC,43,0.273764,0.247148,0.292776,0.307985,0.444867,0.209125,0.292776,0.311787,0.296578,0.254753,0.292776,0.403042,0.456274,0.532319,0.513308,0.505703
HandMovementDirection,HMD,43,0.418919,0.324324,0.337838,0.283784,0.445946,0.337838,0.594595,0.378378,0.594595,0.662162,0.216216,0.500000,0.391892,0.351351,0.310811,0.459459
Heartbeat,HB,43,0.668293,0.741463,0.746341,0.629268,0.712195,0.726829,0.721951,0.760976,0.746341,0.346341,0.721951,0.760976,0.775610,0.751220,0.765854,0.77561
SelfRegulationSCP1,SRS1,43,0.887372,0.836177,0.723549,0.764505,0.829352,0.696246,0.856655,0.901024,0.897611,0.870307,0.559727,0.856655,0.918089,0.948805,0.880546,0.856655
SelfRegulationSCP2,SRS2,43,0.477778,0.488889,0.550000,0.527778,0.477778,0.555556,0.455556,0.483333,0.461111,0.538889,0.494444,0.522222,0.505556,0.544444,0.516667,0.611111
StandWalkJump,SWJ,43,0.400000,0.400000,0.333333,0.400000,0.400000,0.266667,0.333333,0.266667,0.333333,0.333333,0.133333,0.466667,0.466667,0.666667,0.466667,0.666667
