dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,45,0.926667,0.983333,0.973333,0.976667,0.963333,0.803333,0.976667,0.976667,0.986667,0.970000,0.660000,0.993333,0.993333,0.993333,0.986667,0.993333
BasicMotions,BM,45,0.925000,1.000000,1.000000,1.000000,1.000000,0.750000,0.950000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1
Epilepsy,EP,45,0.673913,0.971014,0.971014,0.949275,0.927536,0.971014,0.826087,0.963768,0.985507,0.956522,0.818841,0.985507,1.000000,1.000000,1.000000,1
ERing,ER,45,0.918519,0.855556,0.877778,0.877778,0.925926,0.581481,0.914815,0.881481,0.933333,0.922222,0.700000,0.981481,0.988889,0.988889,0.985185,0.951852
FaceDetection,FD,45,0.641600,0.534052,0.570375,N/A,0.564983,0.545403,0.679058,0.656640,0.671396,0.637344,0.487514,0.621737,0.583144,0.610953,0.533201,0.656356
FingerMovements,FM,45,0.500000,0.640000,0.580000,0.520000,0.520000,0.490000,0.480000,0.450000,0.480000,0.560000,0.460000,0.570000,0.560000,0.560000,0.630000,0.7
Handwriting,HW,45,0.289412,0.452941,0.477647,0.504706,0.345882,0.332941,0.347059,0.202353,0.428235,0.305882,0.129412,0.589412,0.504706,0.509412,0.450588,0.385882
Libras,LIB,45,0.777778,0.927778,0.916667,0.900000,0.838889,0.744444,0.766667,0.788889,0.866667,0.783333,0.505556,0.905556,0.927778,0.927778,0.955556,0.911111
LSST,LSST,45,0.509327,0.461882,0.437551,0.544607,0.626115,0.615977,0.563666,0.349554,0.597729,0.375912,0.367802,0.631387,0.646391,0.626521,0.599757,0.640308
NATOPS,NA,45,0.850000,0.927778,0.944444,0.838889,0.900000,0.938889,0.855556,0.950000,0.933333,0.811111,0.677778,0.888889,0.900000,0.911111,0.877778,0.95
PEMS-SF,PEMS,45,0.838150,0.728324,0.745665,0.670520,0.872832,0.757225,0.820809,0.699422,0.716763,0.768786,0.693642,0.843931,0.803468,0.820809,0.791908,0.913295
PenDigits,PD,45,0.975700,0.980560,0.985706,0.939680,0.955403,0.988279,0.986564,0.619211,0.988279,N/A,N/A,0.980560,N/A,N/A,0.969125,0.993711
PhonemeSpectra,PM,45,0.080525,0.245452,0.289890,0.151208,0.151804,0.227856,0.149418,0.090069,0.192365,0.179541,0.139875,0.277364,0.313451,0.321205,0.337608,0.227557
RacketSports,RS,45,0.756579,0.888158,0.881579,0.835526,0.907895,0.815789,0.822368,0.835526,0.894737,N/A,0.605263,0.901316,0.868421,0.868421,0.881579,0.914474
DuckDuckGeese,DDG,45,0.380000,0.500000,0.560000,0.480000,0.540000,0.540000,0.420000,0.660000,0.640000,0.240000,0.280000,0.520000,0.620000,0.540000,0.520000,0.62
UWaveGestureLibrary,UWG,45,0.750000,0.853125,0.846875,0.856250,0.868750,0.631250,0.862500,0.878125,0.884375,0.871875,0.440625,0.937500,0.931250,0.940625,0.918750,0.903125
AtrialFibrillation,AF,45,0.200000,0.200000,0.133333,0.266667,0.466667,0.133333,0.133333,0.266667,0.266667,0.333333,0.266667,0.066667,0.133333,0.066667,0.133333,0.533333
Cricket,CR,45,0.847222,1.000000,0.972222,0.986111,0.916667,0.791667,0.916667,0.958333,0.958333,0.916667,0.791667,1.000000,0.986111,0.986111,0.986111,1
EthanolConcentration,EC,45,0.300380,0.315589,0.228137,0.307985,0.437262,0.273764,0.277567,0.326996,0.315589,0.228137,0.254753,0.429658,0.456274,0.555133,0.505703,0.577947
HandMovementDirection,HMD,45,0.445946,0.189189,0.270270,0.283784,0.472973,0.270270,0.635135,0.337838,0.608108,0.662162,0.283784,0.527027,0.418919,0.283784,0.229730,0.472973
Heartbeat,HB,45,0.648780,0.673171,0.653659,0.629268,0.721951,0.673171,0.619512,0.765854,0.736585,0.317073,0.756098,0.741463,0.760976,0.717073,0.746341,0.795122
SelfRegulationSCP1,SRS1,45,0.781570,0.832765,0.481229,0.764505,0.829352,0.846416,0.853242,0.907850,0.880546,0.856655,0.508532,0.853242,0.918089,0.948805,0.880546,0.860068
SelfRegulationSCP2,SRS2,45,0.488889,0.511111,0.472222,0.527778,0.455556,0.566667,0.488889,0.477778,0.438889,0.500000,0.494444,0.527778,0.488889,0.533333,0.544444,0.622222
StandWalkJump,SWJ,45,0.400000,0.400000,0.333333,0.400000,0.400000,0.466667,0.333333,0.133333,0.333333,0.333333,0.333333,0.466667,0.400000,0.666667,0.466667,0.733333
