dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,42,0.946914,0.986767,0.950707,0.976433,0.962591,0.778488,0.979965,0.976391,0.979946,0.950243,0.666182,0.993322,0.993322,0.993322,0.993322,0.993322
BasicMotions,BM,42,0.871825,1.000000,1.000000,1.000000,1.000000,1.000000,0.974937,1.000000,1.000000,1.000000,0.974937,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,42,0.646987,0.978721,0.977784,0.948346,0.926442,0.978721,0.859524,0.978806,0.963731,0.964336,0.795828,0.984993,1.000000,1.000000,1.000000,1.000000
ERing,ER,42,0.918489,0.889254,0.862927,0.876908,0.917252,0.683165,0.929149,0.707936,0.932507,0.917454,0.630462,0.981557,0.981475,0.996296,0.985305,0.951892
FaceDetection,FD,42,0.647034,0.522862,0.554543,N/A,0.560159,0.564982,0.659565,0.643181,0.661165,0.659235,0.499556,0.595305,0.593018,0.605349,0.527224,0.658593
FingerMovements,FM,42,0.509559,0.587981,0.545982,0.516908,0.548872,0.485835,0.503998,0.599840,0.494949,0.474747,0.546325,0.566489,0.569957,0.599359,0.551204,0.729323
Handwriting,HW,42,0.260697,0.388246,0.506916,0.482474,0.322128,0.271650,0.303998,0.153865,0.378801,0.231665,0.110111,0.555076,0.485500,0.486539,0.454444,0.355348
Libras,LIB,42,0.751424,0.927895,0.882578,0.899344,0.858119,0.742659,0.786196,0.763474,0.837496,0.760419,0.515580,0.905757,0.938565,0.932396,0.949637,0.911270
LSST,LSST,42,0.354027,0.312991,0.227741,0.457392,0.456507,0.418969,0.401687,0.119658,0.433962,0.134146,0.104584,0.400717,0.485830,0.470173,0.416988,0.388178
NATOPS,NA,42,0.836119,0.918884,0.912906,0.842673,0.933787,0.913292,0.863185,0.931201,0.955404,0.821543,0.692923,0.874886,0.943883,0.916458,0.861806,0.938826
PEMS-SF,PEMS,42,0.737102,0.788249,0.772804,0.660118,0.869347,0.690297,0.819875,0.674998,0.719415,0.762630,0.704204,0.840800,0.805485,0.817612,0.778597,0.910181
PenDigits,PD,42,0.964180,0.988326,0.987060,0.939352,0.958622,0.974235,0.973885,0.654146,0.980984,N/A,N/A,0.980483,N/A,N/A,0.971545,0.993691
PhonemeSpectra,PM,42,0.079863,0.246916,0.292783,0.151948,0.153092,0.231124,0.144042,0.025656,0.194949,0.139908,0.121637,0.268226,0.303688,0.322852,0.322185,0.214997
RacketSports,RS,42,0.782765,0.872787,0.897531,0.844883,0.900360,0.782855,0.860718,0.818619,0.903600,N/A,0.640006,0.915552,0.927016,0.907488,0.907544,0.908189
DuckDuckGeese,DDG,42,0.414872,0.619561,0.590015,0.468406,0.536797,0.465374,0.443725,0.640028,0.620674,0.212306,0.127536,0.540971,0.598018,0.519315,0.550065,0.644151
UWaveGestureLibrary,UWG,42,0.751975,0.867503,0.789703,0.856729,0.857439,0.573873,0.843701,0.877580,0.883752,0.864965,0.436033,0.930894,0.930712,0.937816,0.902374,0.912184
AtrialFibrillation,AF,42,0.176638,0.155844,0.047619,0.277778,0.437451,0.156863,0.318519,0.365079,0.264069,0.155844,0.277778,0.055556,0.078431,0.051282,0.111111,0.486111
Cricket,CR,42,0.855957,0.986014,0.986014,0.986014,0.929002,0.546154,0.867667,0.940171,0.972125,0.927101,0.760022,1.000000,0.986014,0.986014,0.986014,1.000000
EthanolConcentration,EC,42,0.226602,0.282102,0.242028,0.307589,0.421635,0.162005,0.293864,0.261723,0.310495,0.161679,0.237232,0.417003,0.425549,0.538844,0.502012,0.549079
HandMovementDirection,HMD,42,0.428971,0.163696,0.160160,0.270814,0.509296,0.367118,0.534708,0.260477,0.574341,0.698013,0.255818,0.517292,0.334334,0.320671,0.254081,0.440916
Heartbeat,HB,42,0.603256,0.446885,0.438543,0.533198,0.624542,0.599303,0.651863,0.595661,0.689296,0.545059,0.592255,0.677673,0.688478,0.660682,0.701042,0.729449
SelfRegulationSCP1,SRS1,42,0.851471,0.831223,0.852078,0.758011,0.829015,0.722723,0.894154,0.900649,0.886945,0.869966,0.440903,0.852996,0.921443,0.952173,0.875918,0.855033
SelfRegulationSCP2,SRS2,42,0.467472,0.526008,0.497349,0.527763,0.442724,0.576942,0.444170,0.525302,0.472206,0.565325,0.510567,0.538190,0.508929,0.553571,0.565809,0.588719
StandWalkJump,SWJ,42,0.323810,0.264069,0.240196,0.383117,0.469360,0.095238,0.376068,0.156863,0.266667,0.436610,0.261111,0.433700,0.433700,0.664646,0.440476,0.740741
