dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,43,0.943333,0.986667,0.970000,0.976667,0.960000,0.883333,0.970000,0.973333,0.990000,0.970000,0.670000,0.993333,0.990000,0.990000,0.990000,0.993333
BasicMotions,BM,43,0.900000,1.000000,1.000000,1.000000,1.000000,0.975000,0.925000,0.975000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,43,0.644104,0.977941,0.977941,0.949722,0.918349,0.949126,0.926086,0.978537,0.971781,0.954902,0.823993,0.985294,1.000000,1.000000,1.000000,1.000000
ERing,ER,43,0.903704,0.866667,0.874074,0.877778,0.925926,0.792593,0.896296,0.844444,0.951852,0.951852,0.618519,0.985185,0.981481,0.996296,0.988889,0.948148
FaceDetection,FD,43,0.648695,0.538025,0.522418,N/A,0.562429,0.553632,0.669126,0.660329,0.669410,0.662032,0.499432,0.600738,0.585698,0.612372,0.521283,0.648978
FingerMovements,FM,43,0.615046,0.619848,0.449980,0.518607,0.501000,0.541417,0.621849,0.549620,0.499800,0.550420,0.501801,0.550820,0.511204,0.581833,0.490796,0.699080
Handwriting,HW,43,0.290788,0.428121,0.543439,0.497232,0.317788,0.342866,0.331032,0.246088,0.430050,0.280270,0.130700,0.576722,0.501799,0.509843,0.450592,0.390726
Libras,LIB,43,0.766667,0.933333,0.916667,0.900000,0.850000,0.783333,0.777778,0.794444,0.877778,0.761111,0.533333,0.916667,0.933333,0.933333,0.950000,0.911111
LSST,LSST,43,0.396118,0.204308,0.321822,0.444472,0.421641,0.408805,0.410100,0.122888,0.432948,0.160843,0.149117,0.383124,0.461404,0.453778,0.404765,0.371883
NATOPS,NA,43,0.838889,0.977778,0.955556,0.838889,0.900000,0.911111,0.866667,0.927778,0.950000,0.861111,0.688889,0.888889,0.933333,0.927778,0.877778,0.944444
PEMS-SF,PEMS,43,0.874634,0.712652,0.772664,0.668911,0.870013,0.747116,0.808853,0.629757,0.771750,0.841278,0.682685,0.826624,0.820031,0.796934,0.784794,0.901665
PenDigits,PD,43,0.974729,0.985780,0.977847,0.939488,0.962997,0.985220,0.976889,0.693746,0.982609,N/A,N/A,0.979751,N/A,N/A,0.969829,0.993376
PhonemeSpectra,PM,43,0.087702,0.248792,0.322417,0.151257,0.145600,0.195665,0.148539,0.080203,0.190277,0.175348,0.138079,0.275039,0.319169,0.330510,0.337655,0.224291
RacketSports,RS,43,0.806289,0.907558,0.910174,0.848547,0.893272,0.823983,0.853488,0.843169,0.926308,N/A,0.699856,0.903488,0.866424,0.885174,0.915552,0.928488
DuckDuckGeese,DDG,43,0.460000,0.580000,0.580000,0.480000,0.580000,0.480000,0.420000,0.640000,0.580000,0.220000,0.280000,0.480000,0.620000,0.560000,0.520000,0.640000
UWaveGestureLibrary,UWG,43,0.840625,0.856250,0.818750,0.856250,0.859375,0.659375,0.862500,0.843750,0.884375,0.859375,0.453125,0.937500,0.946875,0.934375,0.915625,0.903125
AtrialFibrillation,AF,43,0.200000,0.200000,0.200000,0.266667,0.466667,0.200000,0.266667,0.333333,0.266667,0.333333,0.266667,0.066667,0.133333,0.066667,0.200000,0.533333
Cricket,CR,43,0.902778,0.986111,0.986111,0.986111,0.944444,0.625000,0.888889,0.930556,0.930556,0.958333,0.847222,1.000000,0.986111,0.986111,1.000000,1.000000
EthanolConcentration,EC,43,0.273252,0.247727,0.292541,0.307925,0.445221,0.208450,0.292016,0.311597,0.296387,0.253846,0.292133,0.404196,0.457110,0.533450,0.513928,0.506061
HandMovementDirection,HMD,43,0.438095,0.325000,0.384524,0.283333,0.422619,0.283333,0.628571,0.395238,0.601190,0.704762,0.239286,0.479762,0.377381,0.345238,0.302381,0.455952
Heartbeat,HB,43,0.576102,0.680714,0.630156,0.532895,0.601114,0.622037,0.570116,0.661866,0.630156,0.509542,0.591690,0.640292,0.709756,0.660503,0.638276,0.661214
SelfRegulationSCP1,SRS1,43,0.887592,0.836362,0.723185,0.765073,0.829559,0.696417,0.856887,0.901197,0.897796,0.870096,0.558685,0.856584,0.918204,0.948910,0.880906,0.856304
SelfRegulationSCP2,SRS2,43,0.477778,0.488889,0.550000,0.527778,0.477778,0.555556,0.455556,0.483333,0.461111,0.538889,0.494444,0.522222,0.505556,0.544444,0.516667,0.611111
StandWalkJump,SWJ,43,0.400000,0.400000,0.333333,0.400000,0.400000,0.266667,0.333333,0.266667,0.333333,0.333333,0.133333,0.466667,0.466667,0.666667,0.466667,0.666667
