dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,45,0.922816,0.983275,0.973400,0.976433,0.963130,0.812651,0.976480,0.976591,0.986643,0.969832,0.630063,0.993322,0.993322,0.993322,0.986655,0.993322
BasicMotions,BM,45,0.924937,1.000000,1.000000,1.000000,1.000000,0.666667,0.949937,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,45,0.632612,0.970536,0.971691,0.948346,0.926423,0.971283,0.803197,0.964677,0.985845,0.957056,0.817863,0.984993,1.000000,1.000000,1.000000,1.000000
ERing,ER,45,0.918139,0.859621,0.878159,0.876908,0.924584,0.540171,0.914583,0.873405,0.932201,0.921983,0.698809,0.981519,0.988888,0.988888,0.985134,0.952036
FaceDetection,FD,45,0.641537,0.533646,0.567566,N/A,0.564981,0.545332,0.679052,0.656480,0.671191,0.637277,0.486899,0.621631,0.581916,0.610682,0.533103,0.656356
FingerMovements,FM,45,0.492695,0.639423,0.579832,0.516908,0.518266,0.488722,0.479792,0.419280,0.476651,0.559824,0.459784,0.566489,0.548440,0.553571,0.629963,0.698916
Handwriting,HW,45,0.266255,0.417504,0.471487,0.482474,0.314709,0.278637,0.313705,0.161616,0.394841,0.249729,0.096941,0.559825,0.477869,0.483890,0.416446,0.358622
Libras,LIB,45,0.774933,0.927388,0.916533,0.899344,0.840526,0.741832,0.759492,0.781450,0.865418,0.761648,0.507418,0.905757,0.927363,0.927319,0.955253,0.911317
LSST,LSST,45,0.359785,0.271949,0.328712,0.457392,0.450794,0.444006,0.410845,0.109561,0.435978,0.119765,0.123870,0.397782,0.476749,0.455126,0.422347,0.382665
NATOPS,NA,45,0.850228,0.924222,0.942195,0.842673,0.899950,0.939223,0.847235,0.949514,0.932477,0.813639,0.677239,0.887778,0.899889,0.911012,0.878591,0.949800
PEMS-SF,PEMS,45,0.833396,0.720674,0.719973,0.660118,0.869347,0.749534,0.816934,0.693443,0.711620,0.756789,0.681334,0.834914,0.794276,0.812924,0.780371,0.910181
PenDigits,PD,45,0.975768,0.980244,0.985616,0.939352,0.955485,0.988245,0.986533,0.590513,0.988041,N/A,N/A,0.980713,N/A,N/A,0.969188,0.993740
PhonemeSpectra,PM,45,0.074130,0.220760,0.280575,0.151948,0.145568,0.205034,0.144442,0.035385,0.185473,0.152186,0.122417,0.272734,0.305992,0.318238,0.330197,0.220579
RacketSports,RS,45,0.770179,0.897052,0.891424,0.844883,0.913542,0.827014,0.834226,0.846341,0.902924,N/A,0.598935,0.909428,0.875251,0.874652,0.889248,0.921504
DuckDuckGeese,DDG,45,0.288964,0.499694,0.575566,0.468406,0.540837,0.560644,0.391275,0.658105,0.632654,0.181333,0.205624,0.521558,0.617988,0.539013,0.516605,0.599411
UWaveGestureLibrary,UWG,45,0.748352,0.849833,0.843205,0.856729,0.866838,0.640292,0.862204,0.877146,0.885298,0.872205,0.437791,0.937303,0.930624,0.940790,0.918263,0.901462
AtrialFibrillation,AF,45,0.185185,0.155844,0.111111,0.277778,0.437451,0.095238,0.125356,0.275421,0.200000,0.266667,0.255556,0.055556,0.078431,0.051282,0.190476,0.497666
Cricket,CR,45,0.836779,1.000000,0.972125,0.986014,0.914763,0.751851,0.916747,0.958139,0.957692,0.916051,0.780415,1.000000,0.986014,0.986014,0.986014,1.000000
EthanolConcentration,EC,45,0.209524,0.308580,0.203251,0.307589,0.437166,0.233124,0.234045,0.314150,0.309658,0.131863,0.246090,0.422415,0.454608,0.550059,0.501748,0.549079
HandMovementDirection,HMD,45,0.440297,0.079545,0.234982,0.270814,0.448707,0.250358,0.634527,0.281304,0.607639,0.673317,0.297524,0.512277,0.399145,0.242271,0.219272,0.440916
Heartbeat,HB,45,0.579918,0.662771,0.631752,0.533198,0.615131,0.595136,0.579830,0.682581,0.678721,0.285643,0.578813,0.619693,0.682331,0.611133,0.623800,0.729449
SelfRegulationSCP1,SRS1,45,0.772978,0.831437,0.351619,0.758011,0.828775,0.846352,0.852906,0.907639,0.880094,0.856573,0.360417,0.852996,0.918042,0.948746,0.879104,0.859123
SelfRegulationSCP2,SRS2,45,0.488320,0.508929,0.451484,0.527763,0.452242,0.560095,0.484818,0.447709,0.438872,0.494949,0.349355,0.527763,0.488320,0.532410,0.543938,0.612854
StandWalkJump,SWJ,45,0.396633,0.311111,0.240741,0.383117,0.402694,0.412698,0.185185,0.095238,0.185185,0.264957,0.261905,0.433862,0.362536,0.664646,0.440476,0.731313
