dataset,abbreviation,seed,GASF,GADF,MTF,RP
ArticularyWordRecognition,AWR,42,0.973,0.97,0.947,0.977
BasicMotions,BM,42,0.975,1,1,0.975
Epilepsy,EP,42,0.986,0.993,0.993,1
ERing,ER,42,0.411,0.641,0.504,0.411
FaceDetection,FD,42,0.508,0.575,0.528,0.522
FingerMovements,FM,42,0.43,0.49,0.56,0.52
Handwriting,HW,42,0.219,0.366,0.159,0.264
Libras,LIB,42,0.806,0.85,0.756,0.761
LSST,LSST,42,0.591,0.586,0.463,0.571
NATOPS,NA,42,0.844,0.872,0.844,0.839
PEMS-SF,PEMS,42,0.873,0.827,0.803,0.821
PenDigits,PD,42,0.985,0.977,0.974,0.983
PhonemeSpectra,PM,42,0.263,0.286,0.223,0.284
RacketSports,RS,42,0.836,0.803,0.803,0.816
DuckDuckGeese,DDG,42,0.46,0.46,0.44,0.48
UWaveGestureLibrary,UWG,42,0.684,0.816,0.641,0.634
AtrialFibrillation,AF,42,0.2,0.067,0.267,0.4
Cricket,CR,42,0.972,0.986,0.986,1
EthanolConcentration,EC,42,0.259,0.357,0.285,0.266
HandMovementDirection,HMD,42,0.324,0.297,0.351,0.243
Heartbeat,HB,42,0.707,0.732,0.732,0.707
SelfRegulationSCP1,SRS1,42,0.7,0.816,0.758,0.785
SelfRegulationSCP2,SRS2,42,0.528,0.561,0.544,0.517
StandWalkJump,SWJ,42,0.533,0.267,0.4,0.2
