dataset,abbreviation,seed,GASF,GADF,MTF,RP
ArticularyWordRecognition,AWR,43,0.957,0.96,0.957,0.963
BasicMotions,BM,43,0.975,1,1,0.975
Epilepsy,EP,43,0.971,0.993,0.986,0.993
ERing,ER,43,0.444,0.748,0.533,0.367
FaceDetection,FD,43,0.518,0.592,0.523,0.509
FingerMovements,FM,43,0.41,0.49,0.54,0.52
Handwriting,HW,43,0.215,0.362,0.14,0.295
Libras,LIB,43,0.822,0.844,0.778,0.817
LSST,LSST,43,0.586,0.589,0.468,0.571
NATOPS,NA,43,0.856,0.872,0.828,0.861
PEMS-SF,PEMS,43,0.838,0.844,0.85,0.798
PenDigits,PD,43,0.975,0.974,0.984,0.989
PhonemeSpectra,PM,43,0.264,0.29,0.217,0.289
RacketSports,RS,43,0.789,0.796,0.849,0.77
DuckDuckGeese,DDG,43,0.6,0.52,0.52,0.44
UWaveGestureLibrary,UWG,43,0.659,0.828,0.65,0.669
AtrialFibrillation,AF,43,0.067,0.067,0.333,0.267
Cricket,CR,43,0.986,0.986,0.986,0.986
EthanolConcentration,EC,43,0.38,0.308,0.262,0.274
HandMovementDirection,HMD,43,0.257,0.297,0.257,0.324
Heartbeat,HB,43,0.683,0.707,0.741,0.722
SelfRegulationSCP1,SRS1,43,0.717,0.751,0.73,0.659
SelfRegulationSCP2,SRS2,43,0.478,0.511,0.444,0.494
StandWalkJump,SWJ,43,0.533,0.4,0.267,0.333
