dataset,abbreviation,seed,GASF,GADF,MTF,RP
ArticularyWordRecognition,AWR,44,0.967,0.953,0.93,0.967
BasicMotions,BM,44,1,1,1,1
Epilepsy,EP,44,0.971,0.986,0.986,0.993
ERing,ER,44,0.319,0.589,0.493,0.333
FaceDetection,FD,44,0.506,0.582,0.518,0.517
FingerMovements,FM,44,0.45,0.52,0.57,0.45
Handwriting,HW,44,0.204,0.392,0.152,0.307
Libras,LIB,44,0.861,0.85,0.739,0.828
LSST,LSST,44,0.597,0.589,0.479,0.548
NATOPS,NA,44,0.844,0.894,0.789,0.867
PEMS-SF,PEMS,44,0.85,0.89,0.861,0.786
PenDigits,PD,44,0.977,0.978,0.981,0.984
PhonemeSpectra,PM,44,0.257,0.271,0.21,0.273
RacketSports,RS,44,0.77,0.803,0.803,0.77
DuckDuckGeese,DDG,44,0.54,0.42,0.5,0.54
UWaveGestureLibrary,UWG,44,0.697,0.809,0.634,0.653
AtrialFibrillation,AF,44,0.2,0.067,0.2,0.333
Cricket,CR,44,0.986,0.986,0.986,0.986
EthanolConcentration,EC,44,0.255,0.27,0.281,0.27
HandMovementDirection,HMD,44,0.297,0.378,0.378,0.378
Heartbeat,HB,44,0.732,0.746,0.737,0.634
SelfRegulationSCP1,SRS1,44,0.724,0.799,0.73,0.747
SelfRegulationSCP2,SRS2,44,0.5,0.511,0.511,0.494
StandWalkJump,SWJ,44,0.6,0.533,0.467,0.533
