dataset,abbreviation,seed,GASF,GADF,MTF,RP
ArticularyWordRecognition,AWR,46,0.98,0.977,0.953,0.963
BasicMotions,BM,46,0.975,1,1,1
Epilepsy,EP,46,1,0.993,0.971,1
ERing,ER,46,0.322,0.696,0.548,0.333
FaceDetection,FD,46,0.522,0.588,0.509,0.539
FingerMovements,FM,46,0.46,0.48,0.51,0.55
Handwriting,HW,46,0.216,0.36,0.176,0.271
Libras,LIB,46,0.839,0.822,0.722,0.856
LSST,LSST,46,0.588,0.587,0.482,0.59
NATOPS,NA,46,0.833,0.9,0.839,0.828
PEMS-SF,PEMS,46,0.884,0.873,0.873,0.827
PenDigits,PD,46,0.978,0.983,0.981,0.981
PhonemeSpectra,PM,46,0.276,0.273,0.209,0.26
RacketSports,RS,46,0.796,0.776,0.809,0.796
DuckDuckGeese,DDG,46,0.54,0.5,0.52,0.52
UWaveGestureLibrary,UWG,46,0.722,0.878,0.688,0.672
AtrialFibrillation,AF,46,0.267,0.133,0.4,0.133
Cricket,CR,46,1,0.986,0.958,0.972
EthanolConcentration,EC,46,0.27,0.274,0.281,0.236
HandMovementDirection,HMD,46,0.257,0.405,0.284,0.23
Heartbeat,HB,46,0.722,0.702,0.722,0.732
SelfRegulationSCP1,SRS1,46,0.706,0.72,0.686,0.747
SelfRegulationSCP2,SRS2,46,0.478,0.444,0.506,0.5
StandWalkJump,SWJ,46,0.6,0.6,0.467,0.6
